name,country,lat,lon,MTemp,humidity,cloudinnes,windspeed,date
Sarab,IR,38.61,44.99,298.15,41,0,2.1,1600063007
Nantucket,US,41.28,-70.1,292.15,93,1,3.1,1600063008
Tilichiki,RU,60.47,166.1,281.7,74,97,8.82,1600063008
Digby,CA,44.62,-65.77,290.93,88,43,1.34,1600063009
San Joaquin,VE,10.26,-67.79,296.66,84,3,1.12,1600063009
Najrān,SA,17.49,44.13,301.15,24,99,2.1,1600063010
Kitui,KE,-1.37,38.01,294.13,59,40,3.75,1600063011
Prince Rupert,CA,54.32,-130.32,285.15,100,90,1.0,1600063012
Faya,SA,18.39,42.45,296.15,17,84,2.1,1600063012
Samarai,PG,-10.62,150.67,299.17,84,29,6.4,1600063013
Ahipara,NZ,-35.17,173.17,286.22,70,57,4.95,1600063014
Bathsheba,BB,13.22,-59.52,301.15,83,20,5.1,1600063014
Charapán,MX,19.67,-102.23,291.15,93,40,0.99,1600063016
Kruisfontein,ZA,-34.0,24.73,284.26,76,0,0.45,1600063016
Otradnoye,RU,59.78,30.82,285.93,87,20,6.0,1600063017
Champasak,LA,14.75,106.0,306.96,54,99,1.5,1600063018
Seidu,SL,9.02,-10.6,293.36,100,100,1.13,1600063019
Kargasok,RU,59.06,80.86,290.15,62,78,4.21,1600063019
Garhi Khairo,PK,28.06,67.98,314.36,22,21,3.83,1600063021
Mitsamiouli,KM,-11.38,43.28,298.64,75,7,1.12,1600063021
Kieta,PG,-6.22,155.63,302.38,66,23,2.76,1600063023
Mvangué,CM,2.97,11.52,292.15,98,99,1.31,1600063024
Oranjemund,NA,-28.55,16.43,285.35,63,1,4.11,1600063025
Puerto Escondido,MX,15.85,-97.07,299.42,80,100,2.53,1600063026
North Bend,US,43.41,-124.22,285.93,100,90,1.1,1600062924
Vila do Maio,CV,15.13,-23.22,299.48,85,98,3.15,1600063027
Champerico,GT,14.3,-91.92,292.59,97,94,1.02,1600063028
Ucluelet,CA,48.93,-125.55,287.59,89,100,2.59,1600062937
Soyo,AO,-6.13,12.37,296.15,94,20,3.03,1600063030
Constitución,CL,-35.33,-72.42,281.94,70,0,4.69,1600063031
Anchorage,US,61.22,-149.9,283.71,76,1,0.8,1600062840
Lompoc,US,34.64,-120.46,287.59,93,90,2.1,1600062919
Iquique,CL,-20.22,-70.14,289.15,72,90,1.0,1600063032
Tambovka,RU,50.1,128.05,293.15,68,40,1.02,1600063033
Pisco,PE,-13.7,-76.22,288.15,87,20,2.1,1600063034
Codrington,AU,-38.27,141.97,286.51,72,17,5.45,1600063034
Ulundi,ZA,-28.34,31.42,291.25,71,45,0.54,1600063035
Garoowe,SO,8.41,48.48,302.55,48,53,10.43,1600063035
Ndélé,CF,8.41,20.65,295.38,96,73,2.03,1600063036
Solnechnyy,RU,50.72,136.63,295.6,53,68,1.56,1600063037
Baykit,RU,61.67,96.37,291.34,49,8,1.27,1600063038
Kerema,PG,-7.96,145.78,298.86,78,55,4.83,1600063039
Bria,CF,6.54,21.99,295.02,92,95,0.07,1600063040
Klaksvík,FO,62.23,-6.59,281.15,93,99,2.6,1600063040
Caravelas,BR,-17.71,-39.25,294.53,84,2,3.44,1600063041
Grindavik,IS,63.84,-22.43,279.15,87,75,3.6,1600063042
Brownsville,US,25.9,-97.5,300.15,88,20,5.72,1600062352
Longyearbyen,SJ,78.22,15.64,275.15,87,75,2.1,1600063043
Sakassou,CI,7.45,-5.29,296.15,100,97,1.08,1600063044
Chernyshevskiy,RU,63.01,112.47,286.92,53,1,1.44,1600063044
Severo-Kuril'sk,RU,50.68,156.12,284.4,75,2,6.5,1600063045
Coos Bay,US,43.37,-124.22,285.93,100,90,0.97,1600063046
Kudat,MY,6.88,116.85,304.15,70,20,4.1,1600063047
Lavrentiya,RU,65.58,-171.0,279.09,93,100,6.02,1600063048
Leningradskiy,RU,69.38,178.42,278.51,80,100,4.18,1600063049
Ampanihy,MG,-24.7,44.75,299.21,40,0,3.9,1600063050
Port-Gentil,GA,-0.72,8.78,298.15,88,90,4.96,1600063051
Goroka,PG,-6.08,145.39,294.11,80,49,1.03,1600063052
San Jose,US,37.34,-121.89,289.82,82,90,3.6,1600062600
Kupang,ID,-10.17,123.58,306.15,33,20,9.8,1600063053
Laguna,US,38.42,-121.42,293.15,63,90,3.1,1600063054
Verāval,IN,20.9,70.37,302.16,77,96,5.62,1600062756
Wanaka,NZ,-44.7,169.15,285.37,63,80,3.58,1600063055
Mount Gambier,AU,-37.83,140.77,288.15,62,75,5.7,1600063056
Waterloo,CA,43.47,-80.52,287.59,87,1,3.1,1600062878
Saint-François,FR,46.42,3.91,287.59,87,0,0.5,1600063057
Bridlington,GB,54.08,-0.19,285.93,93,0,1.5,1600063058
Departamento de Maldonado,UY,-34.67,-54.92,284.26,71,75,9.3,1600063058
Marfino,RU,55.7,37.38,284.15,76,20,6.0,1600063059
Anadyr,RU,64.75,177.48,281.15,93,75,6.0,1600063060
Tall Kayf,TR,37.08,41.07,300.15,39,0,0.5,1600063061
Cabo San Lucas,MX,22.89,-109.91,300.93,82,58,2.72,1600063062
Kavieng,PG,-2.57,150.8,302.09,75,69,5.76,1600063063
Guantánamo,CU,20.14,-75.21,301.15,83,40,2.1,1600063063
Erenhot,CN,43.65,111.98,293.4,22,90,5.74,1600063064
Māngrol,IN,21.12,70.12,302.17,77,93,5.56,1600062870
Uíge,AO,-7.61,15.06,292.34,80,41,1.37,1600063065
Teruel,ES,40.67,-0.67,290.93,76,34,1.5,1600063066
Velikodvorskiy,RU,55.25,40.67,284.62,81,0,5.11,1600063067
Kedrovyy,RU,56.17,91.82,290.15,45,5,2.0,1600063067
Demyansk,RU,57.64,32.47,284.8,87,46,3.75,1600063068
Celestún,MX,20.87,-90.4,300.54,75,65,1.55,1600063068
Inírida,CO,3.87,-67.92,296.34,96,91,1.17,1600063069
Ulaanbaatar,MN,47.91,106.88,281.15,52,75,3.0,1600062782
Zhezkazgan,KZ,47.8,67.71,297.15,19,75,4.0,1600063070
Gualeguay,AR,-33.14,-59.31,280.9,58,0,3.37,1600063071
Nioro,GM,13.35,-15.75,297.43,97,90,3.05,1600063072
Sawākin,SD,19.11,37.33,309.9,27,42,1.5,1600063072
Olinda,BR,-8.01,-34.86,297.15,88,40,2.6,1600063073
Cervo,ES,43.67,-7.41,290.37,1,100,1.64,1600063074
Dejen,ET,10.17,38.13,287.86,89,43,0.97,1600063075
Pundaguitan,PH,6.37,126.17,302.01,69,100,3.26,1600063076
Tchibanga,GA,-2.85,11.03,294.43,92,72,0.18,1600063076
Casper,US,42.87,-106.31,282.15,70,1,2.6,1600063077
Ukiah,US,39.15,-123.21,291.15,55,90,1.5,1600062858
Dongsheng,CN,39.82,109.98,293.02,28,52,2.03,1600063078
Mehamn,NO,71.04,27.85,282.15,87,90,4.6,1600063079
Lucapa,AO,-8.42,20.74,298.03,38,13,0.94,1600063079
Znamenskoye,RU,57.13,73.83,289.07,63,95,1.74,1600063080
Béboto,TD,8.27,16.94,295.06,96,100,2.37,1600063081
Carinhanha,BR,-14.3,-43.77,292.21,75,37,2.6,1600063081
Pangkalanbuun,ID,-2.68,111.62,305.52,49,79,1.83,1600063082
Pontes e Lacerda,BR,-15.23,-59.34,295.5,31,2,0.43,1600063083
Cidreira,BR,-30.18,-50.21,291.17,95,90,3.28,1600063083
Wuwei,CN,37.93,102.64,296.68,30,2,5.99,1600063084
Linhares,BR,-19.39,-40.07,292.76,95,3,0.52,1600063085
Igboho,NG,8.83,3.75,292.7,98,18,1.85,1600063085
Balkanabat,TM,39.51,54.37,301.31,27,0,2.94,1600063086
Bakchar,RU,57.02,82.07,288.56,60,100,1.91,1600063087
Kimbe,PG,-5.55,150.14,304.15,60,23,4.17,1600063088
Christchurch,NZ,-43.53,172.63,290.93,48,54,7.2,1600063063
Havøysund,NO,71.0,24.66,281.15,93,75,1.5,1600063089
Biak,ID,-0.91,122.88,301.13,63,49,5.27,1600063090
Puerto Carreño,CO,6.19,-67.49,298.29,88,64,1.01,1600063091
Kaeo,NZ,-35.1,173.78,288.15,47,79,3.13,1600063092
Liyang,CN,29.71,118.29,295.57,86,100,0.34,1600063092
